component,strategy,macro_f1,accuracy_or_micro,subset_acc,latency_ms,wall_s,skipped,notes
sentiment,vader,0.4661,0.55,,0.4,0.1,False,VADER (analyze_text_and_keywords)
sentiment,distilbert_sst2,0.5362,0.635,,49.8,10.0,False,distilbert-base-uncased-finetuned-sst-2-english (binary → 3-class via P_pos thresholds 0.7/0.3)
sentiment,nli_zeroshot,0.7007,0.735,,589.3,117.9,False,NLI zero-shot (valhalla/distilbart-mnli-12-3)
sentiment,claude_zeroshot,,,,,,True,ANTHROPIC_API_KEY not set in autonomous run
complaints,keyword,0.8196,0.8466,0.43,0.1,0.0,False,categorize_complaints (CATEGORY_KEYWORDS substring scan)
complaints,tfidf_lgbm,0.6822,0.8056,0.38,245.7,24.6,False,"TF-IDF (word 1-2gram + char 3-5gram) + LightGBM OvR, 5-fold CV (out-of-fold predictions)"
complaints,sbert_lgbm,0.3442,0.5542,0.13,43.7,4.4,False,"SBERT (sentence-transformers/all-MiniLM-L6-v2) 384d + LightGBM OvR, 5-fold CV"
complaints,nli_zeroshot,0.4072,0.4344,0.01,1757.1,175.7,False,NLI zero-shot multi-label (valhalla/distilbart-mnli-12-3); threshold=0.5
complaints,claude_zeroshot,,,,,,True,ANTHROPIC_API_KEY not set in autonomous run
