strategy,macro_f1,f1_service,f1_food_quality,f1_hygiene,f1_price,f1_delivery,f1_portion,f1_ambience,f1_variety
LGBM tuned (thr=0.5),0.8013537984248159,0.9904761904761905,0.8739495798319329,0.631578947368421,0.5714285714285714,0.6875,0.9387755102040816,0.8709677419354839,0.8461538461538461
LGBM tuned + per-class thr,0.8175205442335901,0.9904761904761905,0.8739495798319329,0.6666666666666667,0.5777777777777777,0.7272727272727273,0.9387755102040816,0.8852459016393442,0.88
"BCE (LogReg OvR, thr=0.5)",0.49287151427735276,0.7899159663865547,0.8208955223880596,0.0,0.34285714285714286,0.3333333333333333,0.6,0.8059701492537314,0.25
BCE (LogReg OvR) + per-class thr,0.6320966647716377,0.7899159663865547,0.8208955223880596,0.41860465116279066,0.5063291139240507,0.4864864864864865,0.6,0.8059701492537314,0.6285714285714286
